complaint_id,ward,area,landmark,category,complaint_text,language,urgency_level,votes,total_complaints_received,status,date_submitted,has_image
MG-00494,KMC-7,Maitighar,Bhadrakali,Public Facilities,"Bus stop at Maitighar near Bhadrakali has no roof, broken benches. Passengers standing in sun and rain.",en,2,11,15,WIP,2026-03-09,No
MG-00495,KMC-12,Jyatha,Thamel Chowk,Garbage/Sanitation,"Garbage not collected for 5 days in Jyatha near Thamel Chowk. Smell unbearable, stray dogs spreading waste everywhere.",en,2,0,2,WIP,2025-05-07,No
MG-00496,KMC-27,Gokarneshwor,Gokarneshwor,Noise Pollution,Loud music from Gokarneshwor party hall near Gokarneshwor until late night. Children and elderly suffering.,en,3,1,6,New,2025-09-23,No
MG-00497,KMC-15,Sinamangal,Sinamangal,Illegal Construction,Road being dug for private pipe laying near Sinamangal without permission. No restoration plan.,en,1,8,1,WIP,2025-08-28,No
MG-00498,KMC-10,Pashupati,Chabahil,Garbage/Sanitation,Overflowing dustbin at Chabahil in Pashupati. Rats and crows spreading garbage on road. Urgent cleaning needed.,en,3,17,4,New,2025-12-21,Yes
MG-00499,KMC-18,Balkhu Chowk,Teku,Noise Pollution,Vehicle horns and noise near Balkhu Chowk school affecting students during exam. Traffic diversion needed.,en,2,35,24,WIP,2025-09-02,Yes
MG-00500,KMC-10,Pashupati,Chabahil,Public Facilities,Park in Pashupati near Chabahil has broken swings and rusted slides. Children getting injured. No maintenance.,en,2,6,1,WIP,2025-10-21,No
MG-00501,KMC-26,Machapokhari,Balaju,Electricity,Illegal electrical connection near Balaju causing overload. Risk of fire. Please inspect and take action.,en,2,0,8,Rejected,2025-05-29,No
MG-00502,KMC-3,New Road,Indra Chowk,Illegal Construction,Road being dug for private pipe laying near Indra Chowk without permission. No restoration plan.,en,2,0,2,WIP,2025-11-22,Yes
MG-00503,KMC-32,Gairidhara,Gairidhara,Garbage/Sanitation,Overflowing dustbin at Gairidhara in Gairidhara. Rats and crows spreading garbage on road. Urgent cleaning needed.,en,1,0,1,WIP,2025-11-12,No
MG-00504,KMC-28,Sukedhara,Sukedhara,Flooding,KMC-28: Flooding in Sukedhara is annual problem. No permanent solution being implemented.,en,2,34,18,Rejected,2025-05-03,No
MG-00505,KMC-29,Bansbari,Bansbari,Garbage/Sanitation,"Garbage not collected for 4 days in Bansbari near Bansbari. Smell unbearable, stray dogs spreading waste everywhere.",en,2,1,7,New,2025-07-25,Yes
MG-00506,KMC-23,Bagbazar,Bagbazar,Noise Pollution,Vehicle horns and noise near Bagbazar school affecting students during exam. Traffic diversion needed.,en,1,0,3,WorkDone,2025-07-18,No
MG-00507,KMC-14,Jadibuti,Koteshwor,Illegal Construction,Road being dug for private pipe laying near Koteshwor without permission. No restoration plan.,en,1,4,3,New,2025-04-21,No
MG-00508,KMC-8,Kalanki,Kalanki,Flooding,"Kalanki near Kalanki floods every rain. Water enters houses, furniture damaged. Need proper drainage.",en,1,11,15,WIP,2025-11-18,No
MG-00509,KMC-1,Thankot Chowk,Thankot,Flooding,Storm drain near Thankot choked with plastic. Heavy rain causes immediate flooding in Thankot Chowk.,en,3,10,6,WorkDone,2026-02-27,No
MG-00510,KMC-25,Gongabu,Gongabu Bus Park,Public Facilities,Park in Gongabu near Gongabu Bus Park has broken swings and rusted slides. Children getting injured. No maintenance.,en,1,1,13,WIP,2025-05-08,No
MG-00511,KMC-10,Pashupati,Chabahil,Noise Pollution,Vehicle horns and noise near Pashupati school affecting students during exam. Traffic diversion needed.,en,2,11,7,WIP,2025-09-18,No
MG-00512,KMC-28,Suryabinayak,Sukedhara,Traffic/Signals,Sukedhara ko traffic signal broken xa. Suryabinayak ma rush hour ma jam hunchha daily.,mix,1,4,8,WIP,2025-04-04,Yes
MG-00513,KMC-32,Hattisar Upper,Hattisar Upper,Illegal Construction,Illegal construction blocking public road near Hattisar Upper in Hattisar Upper. Emergency vehicles cannot pass.,en,1,10,3,Not Required For Now,2025-04-19,No
MG-00514,KMC-16,Pulchowk,Jawalakhel,Public Facilities,"Bus stop at Pulchowk near Jawalakhel has no roof, broken benches. Passengers standing in sun and rain.",en,3,4,14,WIP,2025-08-10,No
MG-00515,KMC-17,Satdobato,Satdobato,Flooding,"Satdobato near Satdobato floods every rain. Water enters houses, furniture damaged. Need proper drainage.",en,1,1,1,New,2025-04-09,Yes
MG-00516,KMC-30,Minbhawan,Kamalpokhari,Flooding,KMC-30: Flooding in Minbhawan is annual problem. No permanent solution being implemented.,en,1,9,9,Rejected,2026-02-09,No
MG-00517,KMC-2,Ichangu Narayan,Balambu,Water/Drainage,"Water pipe burst near Balambu in Ichangu Narayan. Street flooded, people walking in knee-deep water. Kids going school facing problem.",en,2,13,24,WIP,2025-05-23,No
MG-00518,KMC-24,Thapathali,Thapathali,Electricity,Frequent tripping of transformer in Thapathali. Appliances getting damaged. No response from NEA when called.,en,1,0,1,Rejected,2025-12-18,No
MG-00519,KMC-10,Gaushala,Pashupati Temple,Illegal Construction,"Building being constructed without permit near Pashupati Temple. No safety barriers, debris falling on road.",en,1,3,2,Rejected,2025-04-10,No
MG-00520,KMC-32,Gairidhara,Sinamangal,Noise Pollution,Loudspeaker at Sinamangal from early morning. Religious event going on for weeks without permission check.,en,2,11,3,New,2025-05-17,No
MG-00521,KMC-28,Sukedhara,Sukedhara,Flooding,Bridge at Sukedhara gets submerged during monsoon. Alternative route very long. Need height increase.,en,2,4,22,Rejected,2025-07-29,Yes
MG-00522,KMC-4,Freak Street,Hanuman Dhoka,Electricity,Load shedding schedule not being followed in Freak Street. Cuts happening outside scheduled hours too.,en,1,6,4,WIP,2025-05-09,No
MG-00523,KMC-28,Suryabinayak,Suryabinayak,Public Facilities,Park in Suryabinayak near Suryabinayak has broken swings and rusted slides. Children getting injured. No maintenance.,en,1,1,10,Rejected,2025-05-03,No
MG-00524,KMC-19,Kalimati Bridge,Kalimati Bridge,Electricity,Illegal electrical connection near Kalimati Bridge causing overload. Risk of fire. Please inspect and take action.,en,2,2,4,New,2025-12-23,Yes
MG-00525,KMC-32,Sinamangal,Gairidhara,Noise Pollution,"Generator noise from Gairidhara business unbearable. Running 24 hours, no muffler. Please regulate.",en,3,2,6,WIP,2026-01-05,No
MG-00526,KMC-3,New Road,Indra Chowk,Electricity,Power outage in New Road for 34 hours daily. NEA not giving advance notice. Businesses losing money.,en,2,33,25,New,2025-06-23,Yes
MG-00527,KMC-10,Pashupati,Pashupati,Noise Pollution,Vehicle horns and noise near Pashupati school affecting students during exam. Traffic diversion needed.,en,3,0,2,WIP,2025-12-20,No
MG-00528,KMC-11,Jorpati,Boudhanath,Noise Pollution,Loudspeaker at Boudhanath from early morning. Religious event going on for weeks without permission check.,en,2,2,1,WorkDone,2025-08-23,No
MG-00529,KMC-1,Thankot,Thankot Chowk,Traffic/Signals,Road divider broken near Thankot Chowk. Vehicles crossing to wrong lane. Please put barriers immediately.,en,2,9,8,New,2025-07-07,No
MG-00530,KMC-15,Sinamangal,Airport Gate,Electricity,Illegal electrical connection near Airport Gate causing overload. Risk of fire. Please inspect and take action.,en,3,3,1,New,2025-10-25,No
MG-00531,KMC-11,Boudhanath,Bouddha,Electricity,Power outage in Boudhanath for 72 hours daily. NEA not giving advance notice. Businesses losing money.,en,3,3,10,WorkDone,2025-10-26,No
MG-00532,KMC-1,Thankot Chowk,Sitapaila,Flooding,Low lying area near Sitapaila completely submerged after rain. Residents stranded for 32 hours.,en,3,6,21,WIP,2025-10-10,No
MG-00533,KMC-26,Balaju,Balaju Industrial Area,Water/Drainage,"Water pipe burst near Balaju Industrial Area in Balaju. Street flooded, people walking in knee-deep water. Kids going school facing problem.",en,2,5,2,WIP,2025-10-27,No
MG-00534,KMC-11,Bouddha,Bouddha,Illegal Construction,Road being dug for private pipe laying near Bouddha without permission. No restoration plan.,en,2,28,2,WorkDone,2025-11-23,No
MG-00535,KMC-23,Mahaboudha,Mahaboudha,Water/Drainage,Mahaboudha ma paani supply ramro chhaina. Hapta ma 2 din matra aaucha. Pipe fix garnu parcha.,ne,2,1,19,WorkDone,2025-05-18,No
MG-00536,KMC-15,Airport Gate,Airport Gate,Public Facilities,"Bus stop at Airport Gate near Airport Gate has no roof, broken benches. Passengers standing in sun and rain.",en,2,0,7,WorkDone,2025-10-02,No
MG-00537,KMC-10,Pashupati Temple,Pashupati Temple,Water/Drainage,"Drainage blocked in Pashupati Temple near Pashupati Temple. Rainwater not draining, road turning into pond. Mosquito breeding.",en,2,3,11,WIP,2025-06-07,No
MG-00538,KMC-26,Balaju Industrial Area,Machapokhari,Noise Pollution,Vehicle horns and noise near Balaju Industrial Area school affecting students during exam. Traffic diversion needed.,en,3,1,4,WorkDone,2026-01-28,No
MG-00539,KMC-8,Kalanki Chowk,Dhalko,Noise Pollution,Vehicle horns and noise near Kalanki Chowk school affecting students during exam. Traffic diversion needed.,en,3,0,2,New,2025-06-16,Yes
MG-00540,KMC-10,Pashupati,Chabahil,Public Facilities,"Community hall in Pashupati roof leaking, walls damaged. Not usable for meetings. Please repair before monsoon.",en,1,1,14,New,2025-10-30,No
MG-00541,KMC-14,Koteshwor,Jadibuti,Noise Pollution,"Construction work at Jadibuti happening at night, Koteshwor residents cannot sleep. No action despite complaints.",en,1,0,10,WIP,2025-10-14,No
MG-00542,KMC-31,Sifal,Sifal,Garbage/Sanitation,No garbage collection vehicle has come to Sifal this week. Residents forced to dump on roadside.,en,1,8,7,WIP,2025-05-20,No
MG-00543,KMC-15,Airport Gate,Airport Gate,Illegal Construction,Illegal construction blocking public road near Airport Gate in Airport Gate. Emergency vehicles cannot pass.,en,3,8,21,WorkDone,2025-04-07,No
MG-00544,KMC-8,Kalanki Chowk,Kalanki Chowk,Water/Drainage,"Open drain in Kalanki Chowk overflowing near Kalanki Chowk. Sewage smell unbearable, health risk for nearby residents.",en,3,4,1,WIP,2025-07-06,Yes
MG-00545,KMC-2,Balambu,Ichangu Narayan,Street Lighting,Street lights off xa Balambu ma since 8 weeks. Ichangu Narayan najik very dangerous xa.,mix,2,0,1,WIP,2025-09-04,Yes
MG-00546,KMC-21,Dallu Chowk,Dallu Chowk,Water/Drainage,"Drainage blocked in Dallu Chowk near Dallu Chowk. Rainwater not draining, road turning into pond. Mosquito breeding.",en,1,1,1,New,2025-09-08,No
MG-00547,KMC-4,Freak Street,Basantapur,Garbage/Sanitation,"Garbage not collected for 6 days in Freak Street near Basantapur. Smell unbearable, stray dogs spreading waste everywhere.",en,1,1,5,New,2026-02-02,Yes
MG-00548,KMC-16,Pulchowk,Pulchowk,Street Lighting,Pulchowk ko road raat ma andho xa. Multiple poles kharab xa. Accident risk धेरै xa.,ne,1,4,3,WIP,2025-09-08,No
MG-00549,KMC-2,Balambu,Nagarjun,Flooding,"Balambu near Nagarjun floods every rain. Water enters houses, furniture damaged. Need proper drainage.",en,2,3,2,WorkDone,2026-01-22,No
MG-00550,KMC-11,Bouddha,Jorpati,Electricity,Load shedding schedule not being followed in Bouddha. Cuts happening outside scheduled hours too.,en,3,21,10,WIP,2026-01-09,Yes
MG-00551,KMC-31,Sankhamul Ghat,Sifal,Public Facilities,Drinking water tap at Sifal broken. People waiting in queue but no water available.,en,1,1,3,New,2025-09-14,No
MG-00552,KMC-9,Tripureshwor,Tripureshwor,Public Facilities,Drinking water tap at Tripureshwor broken. People waiting in queue but no water available.,en,3,19,15,New,2025-04-30,No
MG-00553,KMC-22,Naxal,Hattisar,Flooding,KMC-22: Flooding in Naxal is annual problem. No permanent solution being implemented.,en,2,0,1,WIP,2025-04-13,No
MG-00554,KMC-26,Machapokhari,Balaju,Water/Drainage,"Balaju ko nali overflowing xa. Durganda aaucha, health problem hunchha nearby residents lai.",ne,2,11,12,New,2025-04-13,No
MG-00555,KMC-8,Kalanki,Kalanki,Street Lighting,Kalanki ko road raat ma andho xa. Multiple poles kharab xa. Accident risk धेरै xa.,ne,3,7,4,New,2025-05-25,No
MG-00556,KMC-15,Sinamangal,Airport Gate,Traffic/Signals,"Traffic light at Airport Gate intersection not working since 5 weeks. Rush hour very dangerous, near accidents daily.",en,1,27,4,Rejected,2025-06-17,No
MG-00557,KMC-11,Jorpati,Bouddha,Flooding,Bridge at Bouddha gets submerged during monsoon. Alternative route very long. Need height increase.,en,2,0,8,Rejected,2025-11-15,Yes
MG-00558,KMC-2,Nagarjun,Nagarjun,Illegal Construction,Road being dug for private pipe laying near Nagarjun without permission. No restoration plan.,en,1,3,2,WIP,2025-09-08,Yes
MG-00559,KMC-30,Kamalpokhari,Kamalpokhari,Illegal Construction,Illegal construction blocking public road near Kamalpokhari in Kamalpokhari. Emergency vehicles cannot pass.,en,3,5,1,New,2025-10-15,Yes
MG-00560,KMC-2,Nagarjun,Ichangu Narayan,Electricity,Power outage in Nagarjun for 27 hours daily. NEA not giving advance notice. Businesses losing money.,en,2,0,1,WIP,2026-03-23,No
MG-00561,KMC-22,Hattisar,Naxal,Water/Drainage,Hattisar ma paani supply ramro chhaina. Hapta ma 7 din matra aaucha. Pipe fix garnu parcha.,ne,3,4,2,WorkDone,2025-05-22,No
MG-00562,KMC-7,Bhadrakali,Singha Durbar,Flooding,"Bhadrakali near Singha Durbar floods every rain. Water enters houses, furniture damaged. Need proper drainage.",en,2,14,3,New,2025-08-21,Yes
MG-00563,KMC-28,Suryabinayak,Suryabinayak,Road/Pothole,Suryabinayak ko main road completely damaged xa. Suryabinayak ko aagadi vehicle jam hunchha.,ne,2,6,8,Rejected,2025-05-02,No
MG-00564,KMC-30,Kamalpokhari,Kamalpokhari,Electricity,Load shedding schedule not being followed in Kamalpokhari. Cuts happening outside scheduled hours too.,en,2,2,2,New,2025-06-04,No
MG-00565,KMC-13,Tinkune,Baneshwor,Illegal Construction,Encroachment on footpath near Tinkune by Baneshwor shop. Pedestrians forced to walk on road.,en,2,3,3,WorkDone,2026-03-05,Yes
MG-00566,KMC-28,Tokha Road,Tokha Road,Traffic/Signals,Road divider broken near Tokha Road. Vehicles crossing to wrong lane. Please put barriers immediately.,en,2,2,1,WIP,2025-05-03,No
MG-00567,KMC-4,Hanuman Dhoka,Freak Street,Illegal Construction,Illegal construction blocking public road near Freak Street in Hanuman Dhoka. Emergency vehicles cannot pass.,en,3,6,2,New,2025-04-28,No
MG-00568,KMC-30,Minbhawan,Minbhawan,Traffic/Signals,Minbhawan ko traffic signal broken xa. Minbhawan ma rush hour ma jam hunchha daily.,mix,2,0,2,New,2026-04-03,No
MG-00569,KMC-15,Airport Gate,Naya Baneshwor,Street Lighting,Street lamp near Naya Baneshwor is broken and wires are exposed. Electric shock risk. Please repair immediately.,en,1,1,1,New,2025-10-03,Yes
MG-00570,KMC-8,Dhalko,Kalanki,Noise Pollution,Loud music from Dhalko party hall near Kalanki until late night. Children and elderly suffering.,en,1,2,5,WorkDone,2025-10-13,No
MG-00571,KMC-16,Kumaripati,Kumaripati,Road/Pothole,Road in front of Kumaripati is broken with deep holes. Water collects during rain making it worse. Need immediate repair.,en,3,0,3,Rejected,2025-10-30,No
MG-00572,KMC-24,Dillibazar,Thapathali,Garbage/Sanitation,Garbage problem serious xa Dillibazar ma. Thapathali ko aagadi overflowing dustbin xa.,mix,1,17,4,WIP,2025-04-14,No
MG-00573,KMC-28,Tokha Road,Suryabinayak,Road/Pothole,"Tokha Road ko sadak pothole le bhari xa near Suryabinayak. Vehicles get stuck, accidents bhairaxa.",mix,3,2,3,WorkDone,2026-01-30,No
MG-00574,KMC-32,Sinamangal,Hattisar Upper,Water/Drainage,Sinamangal ma paani supply ramro chhaina. Hapta ma 4 din matra aaucha. Pipe fix garnu parcha.,ne,2,14,12,WIP,2025-08-10,Yes
MG-00575,KMC-24,Thapathali,Thapathali,Noise Pollution,Vehicle horns and noise near Thapathali school affecting students during exam. Traffic diversion needed.,en,2,10,2,New,2025-12-22,No
MG-00576,KMC-16,Jawalakhel,Kumaripati,Public Facilities,Drinking water tap at Kumaripati broken. People waiting in queue but no water available.,en,1,0,2,WIP,2025-10-06,Yes
MG-00577,KMC-3,New Road Gate,Indra Chowk,Electricity,Illegal electrical connection near Indra Chowk causing overload. Risk of fire. Please inspect and take action.,en,2,4,7,New,2025-08-21,Yes
MG-00578,KMC-5,Prime School,Lazimpat,Public Facilities,"Bus stop at Prime School near Lazimpat has no roof, broken benches. Passengers standing in sun and rain.",en,1,0,1,New,2025-04-24,No
MG-00579,KMC-20,Chhauni,Chhauni,Public Facilities,Park in Chhauni near Chhauni has broken swings and rusted slides. Children getting injured. No maintenance.,en,1,2,13,Not Required For Now,2025-09-09,No
MG-00580,KMC-1,Thankot Chowk,Sitapaila,Illegal Construction,"Building being constructed without permit near Sitapaila. No safety barriers, debris falling on road.",en,2,1,8,WorkDone,2025-08-11,No
MG-00581,KMC-6,Lazimpat Crossroad,Maharajgunj,Electricity,Illegal electrical connection near Maharajgunj causing overload. Risk of fire. Please inspect and take action.,en,3,0,5,Rejected,2025-10-30,No
MG-00582,KMC-1,Thankot Chowk,Sitapaila,Traffic/Signals,Sitapaila ko signal kharab xa 4 hapta dekhhi. Rush hour ma accident hune dar xa.,ne,2,3,10,New,2026-03-24,No
MG-00583,KMC-3,Ason,Ason,Traffic/Signals,Ason ko traffic signal broken xa. Ason ma rush hour ma jam hunchha daily.,mix,3,0,4,WIP,2025-10-18,No
MG-00584,KMC-29,Lazimpat Upper,Budhanilkantha Road,Water/Drainage,KMC-29: Water supply not regular in Lazimpat Upper. We get water only 10 days per week. Please fix the pipe.,en,1,7,1,New,2026-02-28,No
MG-00585,KMC-25,Gongabu Bus Park,Gongabu,Street Lighting,No lighting from Gongabu to Gongabu Bus Park market. Several snatching incidents happened this week.,en,2,0,7,New,2026-02-07,Yes
MG-00586,KMC-27,Gokarneshwor,Kapan,Water/Drainage,Drain blocked xa Kapan najik. Paani sadak ma thulo pool ma bharyo. Mosquito breeding bhairako xa.,ne,2,11,6,WIP,2025-10-28,No
MG-00587,KMC-30,Kamalpokhari,Shantinagar,Road/Pothole,Road in front of Shantinagar is broken with deep holes. Water collects during rain making it worse. Need immediate repair.,en,2,1,10,Rejected,2025-08-12,No
MG-00588,KMC-3,New Road,Indra Chowk,Noise Pollution,"Generator noise from Indra Chowk business unbearable. Running 24 hours, no muffler. Please regulate.",en,2,1,14,WIP,2025-05-02,Yes
MG-00589,KMC-7,Singha Durbar,Bhadrakali,Road/Pothole,"Singha Durbar main road is completely damaged near Bhadrakali. Heavy vehicles avoid the route, traffic jams forming daily.",en,2,0,4,WIP,2025-06-25,Yes
MG-00590,KMC-24,Kalopul,Kalopul,Illegal Construction,Encroachment on footpath near Kalopul by Kalopul shop. Pedestrians forced to walk on road.,en,1,4,1,New,2025-04-14,No
MG-00591,KMC-30,Kamalpokhari,Kamalpokhari,Electricity,Electric pole near Kamalpokhari leaning dangerously. Wires sagging low. Children and vehicles at risk.,en,1,8,6,WIP,2025-08-10,No
MG-00592,KMC-5,Lazimpat,Lazimpat Chowk,Street Lighting,Street lights off xa Lazimpat ma since 8 weeks. Lazimpat Chowk najik very dangerous xa.,mix,3,12,1,WIP,2026-01-04,Yes
MG-00593,KMC-26,Balaju,Balaju,Road/Pothole,"Balaju road near Balaju is very bad condition xa. Potholes everywhere, monsoon ma aru problem huncha.",mix,2,1,1,WIP,2026-03-11,No
MG-00594,KMC-7,Singha Durbar,Bhadrakali,Public Facilities,Drinking water tap at Bhadrakali broken. People waiting in queue but no water available.,en,3,9,6,Rejected,2025-12-23,Yes
MG-00595,KMC-27,Jorpati,Jorpati,Traffic/Signals,KMC-27: Jorpati traffic chaos due to broken signals. Morning rush hour gridlock from 8-10 AM.,en,3,11,3,New,2025-07-16,Yes
MG-00596,KMC-21,Dallu Chowk,Naxal,Street Lighting,Naxal dekhi Dallu Chowk market samma kei pani light chhaina. Purse snatch bhairako xa.,ne,3,0,1,New,2026-01-06,Yes
MG-00597,KMC-21,Dallu,Dallu Chowk,Street Lighting,Dallu ko road raat ma andho xa. Multiple poles kharab xa. Accident risk धेरै xa.,ne,2,3,2,WIP,2025-06-02,No
MG-00598,KMC-7,Bhadrakali,Bhadrakali,Flooding,Low lying area near Bhadrakali completely submerged after rain. Residents stranded for 47 hours.,en,3,7,6,New,2025-04-17,No
MG-00599,KMC-31,Sankhamul,Sankhamul Ghat,Road/Pothole,Sadak thik garnu parchha Sankhamul ma. Sankhamul Ghat ko paas ma accident bhairaxa daily.,ne,2,1,1,New,2025-05-24,No
MG-00600,KMC-8,Kalanki,Dhalko,Electricity,Electric pole near Dhalko leaning dangerously. Wires sagging low. Children and vehicles at risk.,en,2,2,4,New,2026-03-16,Yes
MG-00601,KMC-29,Lazimpat Upper,Budhanilkantha Road,Garbage/Sanitation,"Lazimpat Upper area very dirty, garbage pile growing near Budhanilkantha Road. Tourists complaining. Please send cleaning team daily.",en,3,3,1,New,2025-10-17,No
MG-00602,KMC-14,Jadibuti,Koteshwor,Street Lighting,Jadibuti ma light chhaina raat ma. Koteshwor ko aagadi dark xa. Safety issue urgent xa.,mix,2,3,1,Rejected,2026-02-28,No
MG-00603,KMC-4,Freak Street,Hanuman Dhoka,Street Lighting,KMC-4: Freak Street road completely dark at night. Multiple light poles not working. Accidents risk very high.,en,1,0,5,New,2025-12-24,Yes
MG-00604,KMC-12,Jyatha,Thamel,Public Facilities,"Community hall in Jyatha roof leaking, walls damaged. Not usable for meetings. Please repair before monsoon.",en,3,4,7,New,2025-08-06,No
MG-00605,KMC-28,Suryabinayak,Sukedhara,Road/Pothole,"Suryabinayak ko sadak pothole le bhari xa near Sukedhara. Vehicles get stuck, accidents bhairaxa.",mix,3,16,18,New,2026-01-05,Yes
MG-00606,KMC-30,Kamalpokhari,Kamalpokhari,Public Facilities,Drinking water tap at Kamalpokhari broken. People waiting in queue but no water available.,en,1,4,2,New,2025-07-22,No
MG-00607,KMC-24,Dillibazar,Dillibazar,Electricity,Illegal electrical connection near Dillibazar causing overload. Risk of fire. Please inspect and take action.,en,2,29,14,Rejected,2026-01-31,No
MG-00608,KMC-11,Bouddha,Boudhanath,Public Facilities,"Community hall in Bouddha roof leaking, walls damaged. Not usable for meetings. Please repair before monsoon.",en,2,17,8,WIP,2025-10-01,No
MG-00609,KMC-2,Nagarjun,Nagarjun,Garbage/Sanitation,"Nagarjun area very dirty, garbage pile growing near Nagarjun. Tourists complaining. Please send cleaning team daily.",en,1,5,1,New,2026-02-16,No
MG-00610,KMC-25,Gongabu Bus Park,Balaju,Flooding,"Gongabu Bus Park near Balaju floods every rain. Water enters houses, furniture damaged. Need proper drainage.",en,3,1,9,Not Required For Now,2025-05-02,No
MG-00611,KMC-20,Chhauni,Swayambhunath,Water/Drainage,"Drainage blocked in Chhauni near Swayambhunath. Rainwater not draining, road turning into pond. Mosquito breeding.",en,2,17,10,New,2026-01-08,No
MG-00612,KMC-1,Thankot,Thankot,Electricity,Load shedding schedule not being followed in Thankot. Cuts happening outside scheduled hours too.,en,1,3,2,WIP,2025-07-21,No
MG-00613,KMC-29,Lazimpat Upper,Bansbari,Garbage/Sanitation,Illegal dumping happening near Bansbari. People throwing construction waste. Ward office not taking action.,en,1,15,15,WIP,2025-05-20,Yes
MG-00614,KMC-11,Bouddha,Boudhanath,Water/Drainage,Drain blocked xa Boudhanath najik. Paani sadak ma thulo pool ma bharyo. Mosquito breeding bhairako xa.,ne,2,5,16,WIP,2026-02-12,Yes
MG-00615,KMC-18,Balkhu,Teku,Flooding,"Balkhu near Teku floods every rain. Water enters houses, furniture damaged. Need proper drainage.",en,3,3,9,Rejected,2025-08-05,No
MG-00616,KMC-28,Sukedhara,Sukedhara,Traffic/Signals,Sukedhara ko signal kharab xa 4 hapta dekhhi. Rush hour ma accident hune dar xa.,ne,2,0,6,WorkDone,2026-04-03,No
MG-00617,KMC-26,Machapokhari,Balaju,Road/Pothole,Sadak thik garnu parchha Machapokhari ma. Balaju ko paas ma accident bhairaxa daily.,ne,3,9,6,WIP,2025-04-18,No
MG-00618,KMC-31,Sifal,Sankhamul Ghat,Street Lighting,"Street lights in Sifal not working for 6 weeks. Pedestrians in danger at night, theft cases increasing.",en,3,23,22,WIP,2025-05-29,No
MG-00619,KMC-6,Lazimpat Crossroad,Lazimpat Crossroad,Noise Pollution,"Construction work at Lazimpat Crossroad happening at night, Lazimpat Crossroad residents cannot sleep. No action despite complaints.",en,2,13,23,WIP,2026-01-29,No
MG-00620,KMC-6,Lazimpat Crossroad,Chakrapath,Illegal Construction,Unauthorized structure built on public land near Chakrapath. Ward office ignoring complaints.,en,2,5,4,New,2025-05-02,No
MG-00621,KMC-7,Singha Durbar,Bhadrakali,Road/Pothole,Road in front of Bhadrakali is broken with deep holes. Water collects during rain making it worse. Need immediate repair.,en,1,1,4,WIP,2025-07-05,No
MG-00622,KMC-32,Sinamangal,Hattisar Upper,Traffic/Signals,KMC-32: Sinamangal traffic chaos due to broken signals. Morning rush hour gridlock from 8-10 AM.,en,3,9,14,WorkDone,2025-12-11,Yes
MG-00623,KMC-19,Tripureshwor,Tripureshwor,Water/Drainage,"Tripureshwor ma paani aaudaina ni. Tripureshwor ko pipe burst bhayo, sadak flooded xa. Help garnuhos.",ne,1,2,10,WorkDone,2025-10-27,Yes
MG-00624,KMC-13,New Baneshwor,New Baneshwor,Traffic/Signals,New Baneshwor ko signal kharab xa 3 hapta dekhhi. Rush hour ma accident hune dar xa.,ne,1,0,6,New,2025-11-04,No
MG-00625,KMC-32,Hattisar Upper,Gairidhara,Garbage/Sanitation,"Hattisar Upper area very dirty, garbage pile growing near Gairidhara. Tourists complaining. Please send cleaning team daily.",en,2,30,9,Not Required For Now,2025-04-08,No
MG-00626,KMC-14,Koteshwor Chowk,Koteshwor Chowk,Electricity,Power outage in Koteshwor Chowk for 32 hours daily. NEA not giving advance notice. Businesses losing money.,en,3,18,2,Rejected,2026-01-03,No
MG-00627,KMC-26,Balaju Industrial Area,Machapokhari,Garbage/Sanitation,"Garbage not collected for 7 days in Balaju Industrial Area near Machapokhari. Smell unbearable, stray dogs spreading waste everywhere.",en,2,30,13,New,2025-11-11,Yes
MG-00628,KMC-13,Tinkune,Tinkune,Electricity,Power outage in Tinkune for 12 hours daily. NEA not giving advance notice. Businesses losing money.,en,3,8,6,WIP,2025-08-21,No
MG-00629,KMC-19,Tripureshwor,Tripureshwor,Street Lighting,Street lights off xa Tripureshwor ma since 4 weeks. Tripureshwor najik very dangerous xa.,mix,2,5,4,Not Required For Now,2025-08-29,No
MG-00630,KMC-11,Bouddha,Bouddha,Traffic/Signals,Bouddha ko signal timing thik chhaina. Buda manche haru cross garna sakdainan.,ne,3,7,14,Not Required For Now,2025-05-18,No
MG-00631,KMC-16,Kumaripati,Kumaripati,Street Lighting,Kumaripati najik lights off xa. Dark area ma theft cases bhadairako xa. Please fix garnus.,ne,2,3,4,Rejected,2025-05-07,No
MG-00632,KMC-29,Budhanilkantha Road,Bansbari,Water/Drainage,"Drainage blocked in Budhanilkantha Road near Bansbari. Rainwater not draining, road turning into pond. Mosquito breeding.",en,2,15,1,WIP,2025-06-15,No
MG-00633,KMC-7,Bhadrakali,Maitighar,Electricity,Illegal electrical connection near Maitighar causing overload. Risk of fire. Please inspect and take action.,en,1,0,6,WIP,2025-04-11,Yes
MG-00634,KMC-32,Sinamangal,Hattisar Upper,Flooding,Bridge at Hattisar Upper gets submerged during monsoon. Alternative route very long. Need height increase.,en,1,6,1,WIP,2025-10-26,Yes
MG-00635,KMC-9,Tripureshwor,Kalimati,Garbage/Sanitation,Overflowing dustbin at Kalimati in Tripureshwor. Rats and crows spreading garbage on road. Urgent cleaning needed.,en,3,4,9,New,2025-05-03,Yes
MG-00636,KMC-20,Swayambhu,Chhauni,Public Facilities,"Bus stop at Swayambhu near Chhauni has no roof, broken benches. Passengers standing in sun and rain.",en,2,4,10,WIP,2025-12-18,No
